SOC,V,I,T
53.72550583,353.25,-1.950000048,8
53.72550583,352.1375,-16.44000006,8
53.72550583,352.125,-16.5,8
53.72550583,355.625,28.65000153,8
53.72550583,353.625,0.75,8
53.72550583,354.125,4.800000191,8
53.72550583,352.4875,-14.14500065,8
53.72550583,352.375,-15.45000076,8
53.72550583,354.125,6.900000095,8
53.72550583,355.625,25.05000114,8
53.72550583,356.125,30.90000153,8
53.72550583,357.5625,48.30000115,8
53.72550583,357.875,51.90000153,8
53.72550583,357.125,40.95000076,8
53.72550583,355,12.60000038,8
53.72550583,354.875,10.80000019,8
53.72550583,354.125,0.300000012,8
53.72550583,351.625,-30.75000191,8
53.72550583,350.5,-43.80000305,8
53.72550583,351,-36.45000076,8
53.72550583,351.375,-30.75000191,8
53.72550583,352.4625,-16.83000011,8
53.72550583,352.125,-19.80000114,8
53.72550583,351.375,-30.75000191,8
53.72550583,351.375,-30.75000191,8
53.72550583,350,-47.40000153,8
53.72550583,347.575,-77.3250061,8
53.72550583,347.625,-76.3500061,8
53.72550583,348.75,-62.25000381,8
53.72550583,348.375,-66,8
53.72550583,348.75,-57.90000153,8
53.72550583,350.925,-30.27000199,8
53.72550583,351.375,-24.15000153,8
53.72550583,350.75,-31.65000153,8
53.72550583,350.75,-33.15000153,8
53.72550583,353.5,3,8
53.72550583,352.125,-16.20000076,8
